kappa1,kappa2,kappa3,xi1
5.12352,0.748994,1.96959,-2.91975
5.14871,0.702278,1.96594,-3.07491
5.74961,0.0990847,1.97712,-2.63183
5.80889,0.00185855,1.97665,-2.64111
5.98951,-0.166595,1.97971,-2.58444
5.91792,-0.140628,1.98542,-2.67283
5.83592,-0.0382408,1.98543,-2.71794
5.46669,0.309791,1.98587,-2.95553
5.26886,0.525532,1.99233,-3.16366
5.27015,0.594768,1.98921,-3.26206
5.98978,-0.104658,1.98416,-2.96776
5.27123,0.607061,1.97768,-2.94707
5.28689,0.623544,1.97721,-2.9461
5.60591,0.280243,1.98001,-2.87001
5.51801,0.351169,1.99531,-2.76909
4.76552,1.03859,1.97727,-2.9231
4.14089,1.67257,2.00276,-2.81259
4.3766,1.43325,2.00254,-2.77337
5.29952,0.555632,1.95883,-2.89274
4.80256,1.05177,1.97433,-2.93664
6.14234,-0.293983,1.98394,-2.72321
3.9776,1.84643,1.97889,-3.09184
3.95751,1.82351,1.97892,-3.08975
5.36405,0.462133,1.98513,-2.66615
5.8653,-0.0632523,1.96539,-2.96973
5.07757,0.690365,1.98243,-2.86358
5.04868,0.76899,1.98013,-2.8396
4.69899,1.10157,1.99006,-3.0841
5.82659,0.0154456,1.98416,-2.85059
5.26943,0.633012,1.97563,-2.86575
5.3977,0.457357,1.97653,-2.92764
5.54676,0.314437,1.992,-2.77265
5.58688,0.317494,1.99624,-2.88057
4.43635,1.44376,1.96589,-2.72302
6.32473,-0.441268,1.99493,-2.86641
4.29891,1.54345,1.98293,-2.76
5.46527,0.433739,1.96714,-3.02606
4.77665,1.1206,1.97224,-2.91777
5.01109,0.900279,1.97494,-2.8113
5.43419,0.47574,1.9894,-2.66517
4.82433,1.06603,1.96507,-2.99718
5.63143,0.193209,2.00079,-2.98298
5.63573,0.291153,2.00024,-2.97861
4.49052,1.42992,1.96838,-2.94551
6.25301,-0.361394,1.95849,-3.08823
5.79081,0.0913554,1.98276,-3.00608
6.27141,-0.343224,1.99194,-3.339
6.23123,-0.34025,1.98835,-3.32561
4.53649,1.34375,1.98762,-3.35296
5.53003,0.417502,1.98859,-2.67812
5.36745,0.548636,1.98559,-2.69095
5.50657,0.415361,1.98263,-2.89189
5.69178,0.232762,1.971,-2.91982
5.83724,0.0758745,1.96874,-2.92718
5.33727,0.57318,1.97426,-3.2017
4.98422,0.889612,1.97196,-3.26335
5.01456,0.894581,1.99007,-3.22658
5.5757,0.302115,1.97347,-3.05707
5.27239,0.611382,1.95343,-2.96086
6.43363,-0.491673,1.97846,-2.92228
3.95583,1.92269,1.98388,-2.63563
5.63663,0.279166,1.97293,-3.16663
5.56446,0.28104,1.97583,-2.84925
5.26711,0.651935,1.98188,-2.93675
5.36974,0.480718,1.96639,-2.88298
