mu1,mu2,mu3
-0.7266739100194,-2.9297977453307684,-0.08771405635815785
-0.6469266979553715,-2.7962908616260167,-0.04329326462811769
-0.7730321230130717,-2.8658636069644303,-0.04605715892178648
-0.6807003733283901,-2.8785085141489706,-0.036718646397452474
-0.7058629924000397,-2.9205692950896984,-0.15080338966016144
-0.7093715128304409,-2.930380666700179,-0.13540473338955053
-0.6547535993858615,-2.875176097876179,-0.06795537068758101
-0.7551511071340108,-2.9741551534930974,-0.0922942484257758
-0.6706522530492139,-2.831397725598081,-0.11680072259251056
-0.709362491442283,-2.9200521759657727,-0.03938136127578852
-0.7291914550937798,-2.873151382508164,-0.04644406916992581
-0.6854361097123828,-2.935838468226591,-0.1019838367632187
-0.6841460341922669,-2.8577422796186323,-0.06868362467663569
-0.790484292465976,-2.8805448605003283,-0.04622310641425079
-0.8050904575156467,-2.8984421395646303,-0.045726111305734576
-0.5642455249119989,-2.925868339125033,-0.10815141399672877
-0.6191163487347829,-2.8474203962275615,-0.07060822095430845
-0.6929144079000793,-2.870891031482657,-0.08876358818389632
-0.6798534164056387,-2.992461176299847,-0.08048389455417235
-0.6738284176634464,-2.948492696082587,-0.023723957943124457
-0.6615951278199165,-2.813133780433479,-0.02171987244333313
-0.640142561614241,-2.8223564787124285,-0.08824222311634533
-0.6323444361919746,-2.8414193975410975,-0.015453405081358406
-0.6319883865455213,-2.8027471624916753,-0.08153022970630111
-0.6542316390048378,-2.9252785793216485,-0.053650789056180544
-0.6790111153178807,-2.939440583701114,-0.06546571670009158
-0.6354589342488339,-2.9338887080431633,-0.03839418744692767
-0.5875237328615835,-2.9309858466945125,-0.1285410228999327
-0.7626894141287839,-2.863396247340465,-0.02566141789798755
-0.678826302391317,-2.865875035928117,-0.03369123942566425
-0.6282118887461355,-2.868673095521863,-0.11864431424730303
-0.6952545320083025,-2.9232167150899313,-0.06059307278604647
-0.6644340785145959,-2.870937286631956,-0.04406411709626443
-0.7454113449083977,-2.9284757849135206,-0.10247895251678371
-0.6849422022889795,-2.9264725167955903,-0.06612665499119225
-0.6503519440354909,-2.8864086268373343,-0.06567249435598971
-0.6552369937688671,-2.8875885329151707,-0.08951566679831621
-0.6937988787402243,-2.847432716099903,-0.07665734017694803
-0.6164785190279642,-2.8053306185599056,-0.06996497314640629
-0.629093606647718,-2.799000651573232,0.02665085098972582
-0.636862899373727,-2.9663769790259424,-0.11038939742364806
-0.5961122745593062,-2.8272630633006486,-0.04247324414148139
-0.6011911753161424,-2.779333043737758,-0.06653072961489703
-0.5999995390686874,-2.912946220127714,-0.06998338511730517
-0.7046211643790764,-2.908314285811607,-0.10187684875948556
-0.7094627274172061,-2.8899679443206505,-0.011111137094337253
-0.7092977640084878,-2.9278931537334523,-0.014007696239657946
-0.6253525217018508,-2.955754864134433,-0.05683695484189766
-0.6446623661951316,-2.9052296267640267,-0.0963741178533665
-0.5733571386494597,-2.891227827942412,0.005828498462641329
-0.7837639709567211,-2.936929771314253,-0.05036947672841979
-0.590834554931984,-2.870523125134394,-0.120106001908246
-0.5978398720522891,-2.849789142828557,-0.12928792518168788
-0.6513345428758613,-2.8353871637623103,-0.040115642504406926
-0.6415389212053991,-2.839109311775423,-0.20070038644417643
-0.6320746238930386,-2.904482878977609,-0.005963157046317724
-0.6452445375544281,-2.8678129537418795,-0.15804018089311805
-0.7266146072285208,-2.8431659678847523,-0.07665530360376194
-0.715106154481476,-2.956665100988886,-0.1046449979261055
-0.6924514687244722,-2.940482996557473,-0.04152374362041786
-0.711871899232611,-2.909783517575361,0.007031419034448194
-0.6313614107519169,-2.893413591883941,-0.1577414368115314
-0.6482789225141057,-2.9045063645926805,-0.01985292822999156
-0.798316624617827,-2.8920046404236612,-0.0202397870428961
-0.5988687516603636,-2.867206409805736,-0.12609320894889975
-0.6991414396467115,-2.9436248411710753,-0.15399304849138395
-0.7249125727832404,-2.8446098452411883,0.024856730999401257
-0.6641111713655707,-2.86028679316788,0.0026880945242186427
-0.6972777015966977,-2.944057206145908,-0.10026331554812726
-0.615721226320573,-2.8823166130179514,0.042543672316228645
-0.6915980615814918,-2.8729722775822233,-0.07397224359182814
-0.6908084019086334,-2.925020657357567,-0.03261239340167822
-0.6779832659693985,-2.868001790232848,-0.03394698759705434
-0.6128813101274238,-2.8843405232244397,-0.10875354106732261
-0.6935559821569196,-2.918263005334352,-0.08145555101281302
-0.6899683190008984,-2.81292271928801,-0.040147889345959364
-0.6586991422415144,-2.8673908697514428,-0.0824898232676417
-0.6536806644126347,-2.961976112691851,-0.0534908109634169
-0.6650580762976779,-2.8627041064465546,-0.05920240550364607
-0.725733604700503,-2.816354338041916,-0.05611118541822919
-0.7137791340427031,-2.8012689673419904,-0.02974885379731318
-0.5801926958380451,-2.9301302209946374,-0.028633008372533145
-0.7733092983392562,-2.8889637720233554,-0.049600883237017154
-0.584361502810242,-2.958669712871789,-0.06222695570984734
-0.625483534167545,-2.8766192229666165,-0.0632585244325017
-0.6258224098984063,-2.8580666425663455,-0.05113105657566991
-0.6484569418240881,-2.7683871145299346,-0.05509352757733838
-0.6581481083570567,-2.8984258283023863,-0.09858277340667565
-0.6129335639685017,-2.872524634423889,-0.09609610079185205
-0.6368339505808527,-2.909624187601148,-0.07197026234019781
-0.751607475955403,-2.8409618114849198,-0.12186786247853654
-0.6681223284969611,-2.962706064568389,-0.05316295881109203
-0.7150474022026724,-2.847838125313089,-0.11023848157102686
-0.6448062831770309,-2.8430388759818985,-0.09972122141061861
-0.656374125338158,-2.860001616466581,-0.12726343994249348
-0.6839495861609325,-2.8600624937203976,-0.12365869365833064
-0.7394948923991276,-2.8992471938007496,-0.08929671344101331
-0.6678392773428261,-2.9297798652070037,-0.11374321591585954
-0.7014681853144095,-2.904829913076232,-0.10855805511026673
-0.7111501963790499,-2.882116940866923,-0.12706059879671822
-0.6643600485894849,-2.9253810448616484,-0.0956646394265774
-0.6640392301258259,-2.8784524636785753,-0.1088546201734502
-0.6742889009068374,-2.87679768315839,-0.019452510903009042
-0.6959569604127256,-2.9462013713490056,-0.13480197196424934
-0.5853887853467825,-2.9002888529483206,-0.0712033923281184
-0.740589836305121,-2.904032738533395,-0.16756962961540517
-0.7351538682475536,-2.9820595379359793,-0.13482595361766908
-0.6649420868511128,-2.9978204292091943,-0.15172962541750207
-0.6576419762241922,-2.8557019659167255,-0.022995376918378538
-0.6056158828580085,-2.9258795889684794,-0.03945387935234509
-0.5743832593905248,-2.9508457118943796,-0.12865960388345843
-0.7122017289452791,-2.9524052317635743,-0.047635672107511684
-0.6429563624803172,-2.9271890588214813,-0.07430406138996229
-0.6226014716827817,-2.9112812711555445,-0.1051155839522936
-0.661056157007859,-2.9369007654123225,-0.10338677735163025
-0.7169492710009415,-2.911754658515385,-0.11715178251734867
-0.6244391327276155,-2.922838302714713,-0.17444519021642307
-0.6343047256245617,-2.8613411335218304,-0.030298746369318792
-0.6721213599300013,-2.870308546544832,-0.08386913523698897
-0.6979424658121866,-2.848937109109957,-0.16730083168622048
-0.6626997087742105,-2.969941009737822,-0.13733341250265024
-0.7156922768062991,-2.9999855181252193,-0.20699541188132992
-0.6420526267028265,-2.7783897293762347,-0.0928962721890825
-0.6029341081917994,-2.8862959887806174,-0.017150214616783496
-0.7373730472203597,-2.867873589614973,-0.11925824336126513
-0.6633857275062185,-2.7732675557237547,-0.10977131510153285
-0.5543103143501469,-2.7819089531513095,-0.13435181188415346
-0.5957579868301645,-2.839082072160253,-0.07315782021393893
-0.6882474873623479,-2.8797180229236043,-0.10236318955116558
-0.6224369305321075,-2.8702054355716737,-0.12312935452831789
-0.6609137602899062,-2.975041521679988,-0.15347595624649557
-0.6880135294453035,-2.8726617949261803,-0.1395284322633219
-0.663006604943669,-2.928549352915986,-0.1140769766023593
-0.6168343827481915,-2.9202554444984563,-0.13594082419605086
-0.6981613235962921,-2.8940491721429082,-0.008128546862795981
-0.6238346176780908,-2.9315074708459523,-0.09308051842937588
-0.6972357180969029,-2.8774128540655948,0.00972072993089165
-0.7344312007175974,-2.915098383490772,-0.1098352886047357
-0.5526908507611917,-2.937044633391479,0.002247047129061798
-0.7061217653066587,-2.9963111444006376,-0.13793413922927175
-0.6808432201644711,-2.9982155601938496,-0.04962132408569684
-0.6381772942529266,-2.8998890530851766,-0.07226944914354955
-0.6285882214795788,-2.9788971620322435,-0.0033157603606313174
-0.7695654397086262,-2.930281553593742,-0.1513003728388313
-0.7500044695782953,-2.9009963740379,-0.027209464644642828
-0.6438741652113641,-2.837148521551442,-0.060084876511125346
-0.6348500265427008,-2.846104220635911,-0.12400034799890969
-0.6497394865750227,-2.919815004948938,-0.08119160999611388
-0.6514897929795735,-2.8461031019758023,-0.06388463587391127
-0.678505647332517,-2.8912999671157418,-0.010197870434541026
-0.7196037894784848,-2.882508175231672,-0.015501147387138418
-0.5870973466138845,-3.004169491692594,-0.20304253313570325
-0.739404511509482,-2.8117927879507296,-0.06930780104970945
-0.6641116346480483,-2.841520109827991,-0.08531883778428553
-0.6106921830967829,-2.962020654978158,-0.06645871994970695
-0.6738910488837261,-2.8918006481440472,-0.07478127525538945
-0.5975153839719397,-2.9770409105630637,-0.015648718467226656
-0.5863880912629151,-2.8225167619948177,-0.018631809180330403
-0.6761484295995961,-2.8487606646933177,-0.08695310925227157
-0.5385656408024776,-2.9082059217022667,-0.021158841710086224
-0.7786181075032491,-2.901483812919516,-0.0942258798704444
-0.4707287562761715,-2.8242902210222938,0.02771651817461633
-0.7641773225773506,-2.9470539166238585,-0.1313592653082396
-0.6684200992501454,-2.876374094223151,-0.15779102717919088
-0.7080415988751718,-2.9484469043631107,-0.018951238972664472
-0.7010381588079421,-2.794939977659971,-0.1638553290061025
-0.7152363768383675,-2.8358482210383578,-0.04901810956879127
-0.6915740512714832,-2.964229577373403,-0.036179012832878873
-0.6949875358004046,-2.8505469747132914,-0.12131974108599786
-0.5959616462563871,-2.8503245919819924,-0.15759957272206931
-0.6036590633798803,-3.057939005453846,-0.12398905877586433
-0.653162140230606,-2.890751640502591,-0.09568766407071243
-0.6044402416935926,-2.84921662693449,-0.10379993484784117
-0.6825728084154665,-2.9041026373781262,-0.21771374568336893
-0.6358817196247804,-2.8891901666957938,-0.09535009523543475
-0.7005242125857191,-2.828665876401856,-0.03669054221235119
-0.6516765092691406,-3.022371806577128,-0.14289904230155048
-0.7481566509259585,-2.85387024641751,-0.085845305326971
-0.6475685661819512,-3.0052614587705824,-0.07427756636324795
-0.7016039920382804,-2.8509707761804592,-0.09681219923385923
-0.6333651140421019,-2.955663658553684,-0.08277764540088896
-0.7303284093413135,-2.9266172508830435,-0.0673002025138481
-0.7023890538786711,-2.906450404421739,-0.09474130334422788
-0.6552242656867444,-2.9305638583592835,-0.043052802655500516
-0.6372927585773789,-2.920625305933006,-0.06649373744554975
-0.6920772542189545,-2.9368794316769793,-0.09558138790455518
-0.6571912762497922,-2.933210068940448,-0.15887227856885966
-0.5837541131820954,-2.8384183754142076,-0.04407970555935538
-0.5780187410339608,-2.8344591118294304,-0.12314760851365462
-0.5848460319536044,-3.0067656243696987,-0.05481953653028273
-0.6036513576263028,-2.8970977305270793,-0.11008690289347045
-0.6202467986093199,-2.9606041562048224,-0.03408641086164356
-0.6334828379121181,-2.910545859240524,-0.07595790651973051
-0.6348148881405737,-2.8946521617782683,-0.12275808948537595
-0.6552875124390674,-2.9739724950665196,-0.13425573427453436
-0.6337789233625702,-2.914723148324597,-0.014718787453238059
-0.6944656013400229,-2.8995603601741764,-0.11153524422918465
-0.6643911709433843,-2.9386655053174198,-0.06000885782413385
-0.6793912084610881,-2.95537951688872,-0.09776723838543667
-0.7214949089671334,-2.9530846509055584,-0.032475307666000375
-0.6327595369796982,-2.8764951843880135,-0.10548938907367773
-0.7025559490681882,-2.9059559133707147,-0.0200188174213506
-0.6348420938551097,-2.8407104816019486,-0.0503746370961337
-0.672740450366612,-2.987137148863986,-0.08415936962721923
-0.5894321044493318,-2.9262404936252095,-0.10181184508871444
-0.7051584376826491,-2.9657688651026364,-0.0504386957585716
-0.6656930578432887,-2.844044126369801,-0.0881043470130936
-0.7593098651412175,-2.759926593010061,-0.0790807987257961
-0.7226488607822736,-2.981486266921289,-0.11859707157917686
-0.7069420343179006,-3.0154645934993503,-0.12244435847149115
-0.6940328329492826,-2.969479026291933,-0.10531234875824277
-0.64109296328099,-2.948701256187501,-0.0700926222350606
-0.6654790935585737,-2.9918437511404905,-0.12187293528460717
-0.6523227388338345,-3.0220721736507663,-0.08329138338053822
-0.6222940587831581,-2.841115484904271,-0.054842450636741376
-0.6087832215946727,-2.9722775925359683,-0.09795788938642078
-0.6497805355442425,-2.9863869339239066,-0.13882426869744588
-0.7072990665746155,-2.8558029666760953,0.02642482625101271
-0.6235372913495667,-2.877732901631415,-0.14055456811794248
-0.7736885593991288,-2.9794365466525017,0.06521615602685335
-0.8095347037882739,-2.947554728664015,0.02514341980437404
-0.7100567063887624,-2.9049331411918202,-0.03215000448727261
-0.6287208790070766,-2.9440857436561196,-0.07545378847499447
-0.6301957381492896,-2.9728358056358712,-0.09584403661438129
-0.5839038502357737,-2.853894173937314,0.013584047524923197
