mu1,mu2,mu3,tau1,tau2,tau3,xi1
-1.321810488175089,2.3440674462692,-0.3522833943087037,1.61171376854211,5.863928899558121,2.512628799328047,-0.9866402323436778
-1.4043852785188273,2.341097278353879,-0.331437560189792,1.1992684729384535,5.563394480752172,2.399557472734286,-1.0694386938986653
-1.2628471927192035,2.329814284569562,-0.3777180168565144,1.4519009278051629,6.381180574323687,3.0693613080924718,-1.0694386938986653
-1.3226883396304707,2.274769935461472,-0.4438405889187191,1.2856228167739465,5.093036332137162,2.1582266918999538,-1.0694386938986653
-1.2760902977389856,2.37019934310789,-0.3577090030085615,1.3815039678424836,6.394950565435001,2.2213110116659966,-1.0694386938986653
-1.2989915705609474,2.3380888892876506,-0.40020051365443954,1.6499160361989764,6.376200643419043,2.477770766992209,-1.0694386938986653
-1.2523103618933689,2.369634329676177,-0.33614891516444784,1.329811929584772,6.631748508066695,2.3454316626479828,-1.0694386938986653
-1.3042680323727736,2.2553906427068013,-0.45076027474939717,1.400135653266212,5.673292661037057,2.172773935130655,-1.0694386938986653
-1.330249129766183,2.3389770392170584,-0.3257786780933927,1.2029370738279497,6.423288305726658,2.9450551022697296,-1.0694386938986653
-1.1587211225080838,2.301081471668377,-0.3378185681887766,1.5588147260045637,7.540765289050542,3.146067872109971,-1.0694386938986653
-1.1796553375415693,2.3568380189161044,-0.28978030553627804,1.4430325787904779,5.5426050803020495,3.1798145424131246,-1.0694386938986653
-1.1217082268623442,2.3452820909177903,-0.33685421307450336,1.6359497789065875,6.919627897147757,2.4416662498154498,-1.0694386938986653
-1.1831033447950146,2.332985140693723,-0.382323832442246,1.4051226495972764,5.784083292473755,2.9030790945977154,-1.2470409701319969
-1.2852610681214878,2.3919631428244585,-0.4885199674446659,1.3039468715138267,6.914660763302127,2.722482773108145,-1.2470409701319969
-1.285363650382944,2.363969028458497,-0.5268969648256306,1.6229199909898788,8.64954492988148,2.8606158063225835,-1.2470409701319969
-1.078563054832262,2.442585546074492,-0.39400766160935063,1.3754038316161468,6.813572558699835,2.0824696034141383,-1.2470409701319969
-1.1055833921521423,2.3195616178752325,-0.4200094979330027,1.6577482986962073,7.533791756857667,2.0000097241638737,-1.2470409701319969
-1.0190772048423722,2.3500740140976366,-0.5021003561711435,1.4250951348396907,7.91098242893186,2.7027741090746997,-1.2470409701319969
-1.1073058313670963,2.362897346312419,-0.4073670534128465,1.3691591775193466,9.403482308775637,2.2007656267549507,-1.2470409701319969
-1.0784608891305894,2.3573193392427276,-0.30610667980279155,1.8689966091949284,8.674446306762267,2.82307796416147,-1.2470409701319969
-1.0443175091468295,2.4079840172582334,-0.4002436646392438,1.7563808310691034,5.73918831410959,2.935233843258316,-1.2470409701319969
-1.100070366897665,2.3294718852582355,-0.39637745199855196,1.841766843805812,8.010644864225169,2.860963254089067,-1.1692186467237289
-1.1076799295813708,2.327126968627091,-0.34432168788548817,2.156911160517306,7.879190969945853,2.706306261730455,-1.219187877734071
-1.1601340245047191,2.3008118468679366,-0.45622956436291884,1.9482839045855878,6.25827603207562,2.300402302160602,-1.219187877734071
-1.1053161177366024,2.3419649456737655,-0.47549420256760005,2.272952971073608,6.589001075845895,2.889279717820162,-1.219187877734071
-1.0524267650397263,2.3513069345297266,-0.3734485402018837,2.515267086405473,10.444446793226417,3.166489492046901,-1.219187877734071
-0.9592670685881719,2.3493937048468085,-0.46237653956243496,2.280575345451512,9.797529611192928,2.542612494219208,-1.219187877734071
-1.0413116590675076,2.3617854538538623,-0.43861107774491886,1.9578467465213432,8.227528905177245,2.915951625823609,-1.219187877734071
-1.0511783774760186,2.345129369098357,-0.4807222499417261,2.407848512674634,9.127890384327019,2.414187397961673,-1.219187877734071
-1.1136796070637482,2.4268257161386404,-0.5571039511497756,1.7649068789425653,7.838153898865097,2.312832873521591,-1.219187877734071
-1.149390738273084,2.3835603100548184,-0.40874726299414277,2.3543278617649657,6.932724140620766,2.6811631849530326,-1.219187877734071
-1.0217131447065453,2.3549306929225415,-0.45404634733348853,2.3003210843083437,7.322461943024929,3.0271046113232973,-1.219187877734071
-1.0807694462714958,2.348681353896568,-0.48303714926806113,1.9296378600995383,8.431158856988793,3.031450346158192,-1.219187877734071
-0.9829938616121819,2.391217345849832,-0.42211271627470787,2.141988035112162,6.794299498402761,3.0811991476700396,-1.219187877734071
-1.206525583500378,2.354052096037576,-0.5491509289356801,2.108344959086184,7.5147955956863495,2.227911390084779,-1.219187877734071
-1.05644060240922,2.360181733525301,-0.5782759413279297,1.8812308633433734,7.637034414716973,3.128554330492189,-1.219187877734071
-1.0647525238442026,2.335067071618415,-0.49274150289125423,2.2204467838564153,7.480022525074847,2.932949768858284,-1.219187877734071
-1.0892497582649237,2.3665948548217326,-0.569611238343029,1.9748086363694952,8.718567459265465,2.958924407661766,-1.1685909331190034
-1.1395651608580961,2.3510280543893756,-0.47549402929633094,2.437129172510983,7.581968580523419,3.0368756714703484,-1.1685909331190034
-1.041254659170939,2.2882945400604093,-0.5313040256672812,2.0769226196565582,8.406815437276205,3.15333731418683,-1.1685909331190034
