time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
15.7627118644068,6.75739008968068,5.71875983587288,6.77321675440277,6.0236969759209,6.07830759674416,6.67620856646139,6.86778117465237,7.47749824688631,5.43190745275748,6.72793836626112,7.31887269118144,7.10272761897494,6.49376210573718,6.41077372776515,5.78248734445598,6.33262127106996,6.67140235514798,6.67937468715673,6.47418070673097,6.24889025957846
16.271186440678,6.79110307020539,5.70958083724839,6.78553938764387,5.89615314495407,6.04781536065547,6.71762101220803,6.80935499639812,7.44931997701108,5.36181132927154,6.74080533513862,7.2442339092753,7.02020750741519,6.45480105041046,6.39416314084855,5.70489108116496,6.37132416775674,6.70336573494848,6.64038048503674,6.5362765719859,6.26090848839671
16.7796610169492,6.69011814894887,5.66225290258304,6.6696908046314,5.98621338022252,6.04950899943571,6.63301426446644,6.80265618018778,7.53524179905353,5.41164648865852,6.62141180583689,7.28589578647202,7.05471084997785,6.47161600563004,6.35654512728075,5.69173367779354,6.24950116722461,6.6883997315901,6.58702657532495,6.47991290844804,6.19141279957283
17.2881355932203,6.65572500767127,5.67191183780508,6.72890624800189,5.91769034481356,6.05738742090377,6.58929084661447,6.84469011731306,7.44211686844333,5.35182591824919,6.6315961856325,7.25750497690812,6.9881844550859,6.43915151065502,6.31099258859752,5.70423476148863,6.27187430024246,6.68696167164863,6.64268575596039,6.50097018128765,6.22433628537357
17.7966101694915,6.68268044558201,5.58192738199061,6.67557849753781,5.84331411999534,6.0205565148459,6.53028628243906,6.82298281096385,7.41606815505708,5.26459078218044,6.61430560977447,7.28501355920774,7.00428013632242,6.38099360037161,6.25456174706232,5.6580832429289,6.2297763070012,6.63237485704268,6.55882342028331,6.45605131114531,6.18379591902774
18.3050847457627,6.69244511472746,5.58291750647714,6.73263279611236,5.86500289364454,6.01077402389427,6.53450871803889,6.85742100203679,7.38883849507445,5.25377937698645,6.63307376426598,7.20594617489058,6.99051258003508,6.39098420206755,6.23819205793098,5.56286775720191,6.17262725808266,6.63920103889959,6.60107949931922,6.41048856427296,6.17425385124316
18.8135593220339,6.61450600185481,5.57486699674446,6.63812987457481,5.83516143729374,5.98392921971623,6.54086809606387,6.84713587454223,7.3499482386999,5.20921348291102,6.54775480313156,7.18389742874749,6.96124498447781,6.3175386732136,6.15151002740565,5.64431467288876,6.25775364630724,6.72390191579955,6.51964490986607,6.39825189733669,6.14093487651198
19.3220338983051,6.67152299417327,5.52002572118237,6.60951601701331,5.76243737287331,5.90103630967069,6.49727864092314,6.79514073502636,7.37938929910566,5.13472728093455,6.58624374338874,7.16903736589376,6.87526299633888,6.33356942689868,6.15506662996684,5.67156039345256,6.16887461362749,6.5892204190247,6.52271649423071,6.32595717580839,6.10032360030563
19.8305084745763,6.62889029471535,5.47547852232557,6.66412407171785,5.66734591270938,5.87900687044949,6.45520589978765,6.75613795147968,7.35818470075386,5.11931752710984,6.52040663058969,7.23880009162378,6.81961175042231,6.31681525066364,6.01830882465922,5.56649452437394,6.14373271412732,6.56785210534533,6.54772829255065,6.43206124404282,6.12714164028961
20.3389830508475,6.57725898527256,5.43001468012307,6.58235699303677,5.66682053987857,5.92167783841674,6.43027226388272,6.69617196472139,7.31354041695588,5.16517248566668,6.41739817120664,7.24097595127037,6.85471612956117,6.37412731253015,6.03912774154261,5.56625931884376,6.08966513262951,6.59531467261571,6.52698581428099,6.35579625066959,6.06611679776389
20.8474576271186,6.57112475182893,5.39084596201732,6.51600621051401,5.65313549290347,5.84938946329553,6.37396568808807,6.74028106581249,7.27401199728046,5.06279778714961,6.41226666512842,7.16509204408029,6.84472880939409,6.2803100560277,6.00531862432278,5.68870716014339,6.1416400554562,6.5793058581234,6.4892835270973,6.30442200561109,6.0727077281834
21.3559322033898,6.57944483084205,5.40596441202542,6.54771605217716,5.6319008899202,5.91445552354246,6.34485723844122,6.72556361624248,7.25497006449248,4.99289354786813,6.36249665243736,7.13921304178339,6.76432979597333,6.2395198312263,5.98991598356196,5.51588228765347,6.10924476414518,6.51337293514841,6.3967015450751,6.32115826840888,6.09493223058429
21.864406779661,6.52473938644394,5.32751729101034,6.51246211719001,5.60476476337601,5.82296218286618,6.35889123298426,6.67380005450757,7.27970272807236,4.91097925886593,6.35926267049628,7.13489922040948,6.73786609662282,6.28368952078474,5.96660940429084,5.57212385025552,6.05365477247165,6.49816128902806,6.36753433391837,6.30179300790442,6.02858269596925
22.3728813559322,6.54196132107527,5.37142139829352,6.45835230572512,5.46787962738659,5.78931874235534,6.33216339945873,6.68752906385887,7.28045157443502,5.00351376232684,6.35418086656026,7.08758007106263,6.7705066240273,6.26611206523982,5.82770306911654,5.51877039531897,6.08641112494765,6.54770239738818,6.44196343802387,6.28867946198794,6.00659199856252
22.8813559322034,6.48713609859421,5.32078172208303,6.41919010854447,5.54156425854684,5.69935888949965,6.22044581743446,6.62921403799435,7.23008537474406,4.88506574106891,6.26132491207154,7.10439184614855,6.68836906912947,6.22792165535435,5.82688744086186,5.49281025200087,6.01118940126193,6.48183266605716,6.42686030922009,6.24028739288384,5.96451939873295
23.3898305084746,6.52548921174268,5.30208181479739,6.43899999701785,5.4829045085143,5.74196963530537,6.23782415213936,6.67913366610201,7.1798478332386,4.86105302234504,6.32317446224354,7.10814813981174,6.70276945622614,6.17066593283774,5.75665185755949,5.4834479756848,5.96176072729013,6.46987626219765,6.40574473746565,6.1870578161207,5.97429895918718
23.8983050847458,6.38742596013964,5.26378327472786,6.42663621379566,5.49531269826778,5.68150701295847,6.24727451276511,6.63043490003449,7.15140425365152,4.85526624063438,6.23157372168185,7.05690254789895,6.67636908169523,6.20125717266274,5.74872057219639,5.41579877201747,6.02099261275124,6.50589327256022,6.3990085395389,6.2456342011866,5.92045530976071
24.4067796610169,6.45496752779416,5.17625234790681,6.40062109203619,5.42161025767676,5.60096875975856,6.24049775726306,6.66010490213129,7.12141587254022,4.88849605874621,6.19146901924961,7.06068608112974,6.65387741309403,6.1516733856318,5.71630414134787,5.35219857152614,5.93576616924331,6.48713086876161,6.35009250587437,6.16513504835773,5.83237300142785
24.9152542372881,6.400544432404,5.11189081584625,6.38310629065579,5.45171143191782,5.68627708009216,6.14030431419148,6.56673388822633,7.06469641063431,4.8184565388777,6.22877539466976,7.02433029939259,6.67649925582946,6.14394101626332,5.70789067210165,5.38370357686204,5.89629296640809,6.41429419016339,6.30349672619424,6.12590610124016,5.92503470615598
25.4237288135593,6.31122880756591,5.18008133958069,6.38634007178678,5.39577125834351,5.66787573916576,6.19216319366747,6.58274481356092,7.07734512374529,4.84317941979027,6.18860109328504,7.03261445114787,6.62838208817361,6.07003751844502,5.65198683827419,5.3148653174372,5.93983690743793,6.47581510514617,6.31296231212415,6.12633378338384,5.90095271842804
25.9322033898305,6.33565989336866,5.21005860183616,6.31952096657319,5.31908150128585,5.65045987968084,6.13223879346005,6.56157513394032,7.11385879918355,4.85290455090192,6.07657312711822,7.01223007474479,6.5670776834414,6.0825405980438,5.60886982384134,5.3658573842477,5.88100813166495,6.40416605441367,6.27234443231203,6.09380613052689,5.79163744976827
26.4406779661017,6.34214334120999,5.155140940798,6.33011818438311,5.2602684610343,5.59345782648311,6.1209914785106,6.52775043814236,7.07408177269441,4.7981775360519,6.09433630580914,6.9739163672959,6.5667474740386,6.09348791405241,5.60823009963851,5.31053897883623,5.85717117440187,6.37935178023651,6.26748909168179,6.08505028709399,5.81468122650723
26.9491525423729,6.32192360814699,5.12869878224628,6.3211364987893,5.24401985854094,5.60519425505996,6.09000059007214,6.52785854496397,7.04772294459233,4.75150165537691,6.01136490973301,6.9477402826447,6.58753797261164,6.03228350455746,5.51087500478137,5.26538563125997,5.90313019644469,6.30615291889816,6.28559915174173,6.04104560218057,5.80461286486142
27.4576271186441,6.27162010990945,5.15861654297497,6.26435424165159,5.29339642461505,5.58218304581902,6.11677454012028,6.51248061727841,7.02503076736584,4.7205368110226,5.96743743485935,6.99334265826348,6.46351363569005,6.0082288728523,5.5236953656901,5.27952263730965,5.78805529176336,6.38019531522063,6.29860553724864,6.0565696176652,5.7553729096726
27.9661016949153,6.22447046643901,5.06854492041851,6.21125057372235,5.30783452666024,5.59205879578376,6.06120445885112,6.53371608477493,7.11232852535374,4.69868348568282,5.96801768464863,6.91862679085191,6.48031415088776,5.9988287619582,5.51546288871347,5.17556718267279,5.7823975610878,6.3378256455215,6.24449827196744,6.04536015002435,5.73353176387269
28.4745762711864,6.19522685202922,5.12767031945959,6.19846791127558,5.17510564239597,5.46587132791302,6.03156699280742,6.42851587742303,7.03539916176076,4.61251351686713,5.95110876501883,6.9535329113525,6.48109702013725,5.95594738630565,5.470772424894,5.11338668257278,5.76308520150257,6.27370637517619,6.22339318222144,5.97988060105151,5.73553467071809
28.9830508474576,6.13980346427167,5.09546993605981,6.19317636292223,5.23156753337472,5.4927992774709,6.04761648280231,6.46977546570328,6.98866085901432,4.53887085551585,5.89517334288433,6.89976687207137,6.39086733787611,5.94412350527677,5.44798663655168,5.1509259680013,5.71772376831858,6.27565100411273,6.19973960363215,5.99968695816102,5.66076343933783
29.4915254237288,6.16919635562545,5.04195310905616,6.19212059102477,5.15939438177289,5.47147385214689,6.02952498750863,6.46002564483266,6.99146174750685,4.43911027713888,5.8726485668706,6.89015847510261,6.40357483502947,5.84302829101994,5.45951411583942,5.16031996448519,5.686147651323,6.36746720113224,6.16240264559801,5.92053879492363,5.6519514878951
30,6.07313850460177,5.10414793241106,6.11980560096807,5.12240898143222,5.40913458779884,5.90158377363542,6.45144287457985,6.94563001123221,4.4071883217331,5.82677285039924,6.83173869055869,6.38468877777947,5.85602181728297,5.44673180425626,5.16640037350733,5.6328897518027,6.31386216156159,6.14614126954901,5.92317796787337,5.64153722930257
